,symbol,date,open,close,volume,high,low,split,dividend
0,AMZN,2019-12-31T00:00:00+0000,1842.0,1847.84,2510380.0,1853.26,1832.23,1.0,0.0
1,AMZN,2019-12-30T00:00:00+0000,1874.0,1846.89,3677306.0,1884.0,1840.62,1.0,0.0
2,AMZN,2019-12-27T00:00:00+0000,1882.92,1869.8,6188754.0,1901.4,1866.01,1.0,0.0
3,AMZN,2019-12-26T00:00:00+0000,1801.01,1868.77,6024608.0,1870.46,1799.5,1.0,0.0
4,AMZN,2019-12-24T00:00:00+0000,1793.81,1789.21,881337.0,1795.57,1787.58,1.0,0.0
5,AMZN,2019-12-23T00:00:00+0000,1788.26,1793.0,2137493.0,1793.0,1784.51,1.0,0.0
6,AMZN,2019-12-20T00:00:00+0000,1799.62,1786.5,5152460.0,1802.97,1782.45,1.0,0.0
7,AMZN,2019-12-19T00:00:00+0000,1780.5,1792.28,2738320.0,1792.99,1774.06,1.0,0.0
8,AMZN,2019-12-18T00:00:00+0000,1795.02,1784.03,3354137.0,1798.2,1782.36,1.0,0.0
9,AMZN,2019-12-17T00:00:00+0000,1778.01,1790.66,3646697.0,1792.0,1777.39,1.0,0.0
10,AMZN,2019-12-16T00:00:00+0000,1767.0,1769.21,3149345.0,1769.5,1757.05,1.0,0.0
11,AMZN,2019-12-13T00:00:00+0000,1765.0,1760.94,2747909.0,1768.99,1755.0,1.0,0.0
12,AMZN,2019-12-12T00:00:00+0000,1750.0,1760.33,3103949.0,1764.0,1745.44,1.0,0.0
13,AMZN,2019-12-11T00:00:00+0000,1741.67,1748.72,2101318.0,1750.0,1735.71,1.0,0.0
14,AMZN,2019-12-10T00:00:00+0000,1747.4,1739.21,2515644.0,1750.67,1735.0,1.0,0.0
15,AMZN,2019-12-09T00:00:00+0000,1750.66,1749.51,2502489.0,1766.89,1745.61,1.0,0.0
16,AMZN,2019-12-06T00:00:00+0000,1751.2,1751.6,3119979.0,1754.4,1740.13,1.0,0.0
17,AMZN,2019-12-05T00:00:00+0000,1763.5,1740.48,2827852.0,1763.5,1740.0,1.0,0.0
18,AMZN,2019-12-04T00:00:00+0000,1774.01,1760.69,2680700.0,1789.09,1760.22,1.0,0.0
19,AMZN,2019-12-03T00:00:00+0000,1760.0,1769.96,3529582.0,1772.87,1747.23,1.0,0.0
20,AMZN,2019-12-02T00:00:00+0000,1804.4,1781.6,3931750.0,1805.55,1762.68,1.0,0.0
21,AMZN,2019-11-29T00:00:00+0000,1817.78,1800.8,1923440.0,1824.69,1800.79,1.0,0.0
22,AMZN,2019-11-27T00:00:00+0000,1801.0,1818.51,3035846.0,1824.5,1797.31,1.0,0.0
23,AMZN,2019-11-26T00:00:00+0000,1779.92,1796.94,3190428.0,1797.03,1778.35,1.0,0.0
24,AMZN,2019-11-25T00:00:00+0000,1753.25,1773.84,3489467.0,1777.42,1753.24,1.0,0.0
25,AMZN,2019-11-22T00:00:00+0000,1739.02,1745.72,2479081.0,1746.43,1731.0,1.0,0.0
26,AMZN,2019-11-21T00:00:00+0000,1743.0,1734.71,2662938.0,1746.87,1730.36,1.0,0.0
27,AMZN,2019-11-20T00:00:00+0000,1749.14,1745.53,2793759.0,1762.52,1734.12,1.0,0.0
28,AMZN,2019-11-19T00:00:00+0000,1756.99,1752.79,2274535.0,1760.68,1743.03,1.0,0.0
29,AMZN,2019-11-18T00:00:00+0000,1738.3,1752.53,2841907.0,1753.7,1722.71,1.0,0.0
30,AMZN,2019-11-15T00:00:00+0000,1760.05,1739.49,3931141.0,1761.68,1732.86,1.0,0.0
31,AMZN,2019-11-14T00:00:00+0000,1751.43,1754.6,2269417.0,1766.59,1749.56,1.0,0.0
32,AMZN,2019-11-13T00:00:00+0000,1773.39,1753.11,2926892.0,1775.0,1747.32,1.0,0.0
33,AMZN,2019-11-12T00:00:00+0000,1774.66,1778.0,2038925.0,1786.22,1771.91,1.0,0.0
34,AMZN,2019-11-11T00:00:00+0000,1778.0,1771.65,1947810.0,1780.0,1767.13,1.0,0.0
35,AMZN,2019-11-08T00:00:00+0000,1787.89,1785.88,2126198.0,1789.88,1774.04,1.0,0.0
36,AMZN,2019-11-07T00:00:00+0000,1803.76,1788.2,2651086.0,1805.9,1783.48,1.0,0.0
